route_short_name,destination,stop_sequence_real,average_speed,average_speed_7-9,average_speed_79_1518,average_speed_non_79,average_speed_non79_1518
74,Hornsberg,2,19.831470391165478,19.768800520011194,19.619504287239796,19.831470391165478,20.051006713088515
74,Hornsberg,3,22.130897197956358,22.682653549838957,22.117044490316047,22.130897197956358,22.145242446312768
74,Hornsberg,4,21.40762698163074,22.077227652429205,21.634540140167566,21.40762698163074,21.1865570803953
74,Hornsberg,5,18.163139060127452,15.78823698344308,17.43546991633884,18.163139060127452,18.86593062635065
74,Hornsberg,6,9.69616876437494,10.33656384311055,9.304085334202032,9.69616876437494,10.079909993905872
74,Hornsberg,7,18.767014363251686,19.53271770686896,18.907805918304877,18.767014363251686,18.62921837319963
74,Hornsberg,8,20.22583315929153,20.017423527246244,19.42115967196969,20.22583315929153,20.983567359852934
74,Hornsberg,9,17.495810643317572,18.10630308030337,17.42158240356186,17.495810643317572,17.97597456923736
74,Hornsberg,10,20.58915042826211,20.3608620806804,19.751673586796727,20.58915042826211,21.367552139831595
74,Hornsberg,11,12.794857757485548,13.321442261662257,12.594923898637537,12.794857757485548,12.98886137475756
74,Hornsberg,12,15.541885244461087,15.407543750119238,15.223099109731685,15.541885244461087,15.849910665781902
74,Hornsberg,13,20.215839195195354,19.772606995573366,19.43514069369998,20.215839195195354,20.970185004657132
74,Hornsberg,14,21.641087991216473,22.42463288986742,21.705732678419213,21.641087991216473,21.581251586532943
74,Hornsberg,15,17.026614227307704,16.241380136791268,16.094464436864886,17.026614227307704,17.8250692270894
74,Hornsberg,16,16.560571398566147,15.559316903012387,15.856498475777702,16.560571398566147,17.16085667934992
74,Hornsberg,17,37.753738664377885,35.83159190139961,36.89162596658774,37.753738664377885,38.46709466137286
74,Hornsberg,18,15.805334976978642,14.33934093676609,14.761079793219288,15.805334976978642,16.647215125125715
74,Hornsberg,19,16.14468663545355,14.261578114414844,14.679048520779547,16.14468663545355,17.346967901397065
74,Hornsberg,20,15.82325777300803,14.134924572917534,14.88450421282373,15.82325777300803,16.58302719136731
74,Hornsberg,21,26.73024242444694,26.46546805184352,26.04062906098986,26.73024242444694,27.295940886657817
