route_short_name,destination,stop_sequence_real,average_speed,average_speed_7-9,average_speed_79_1518,average_speed_non_79,average_speed_non79_1518
53,Henriksdalsberget,2,19.90241462845843,19.736528784698244,19.55207549012604,19.90241462845843,20.091622177035163
53,Henriksdalsberget,3,17.510388012027992,16.23100580633667,16.40413990921271,17.510388012027992,18.11169360101469
53,Henriksdalsberget,4,10.88920999105017,10.262370822248961,8.640333983942517,10.88920999105017,12.131596036934816
53,Henriksdalsberget,5,19.516262262454337,18.454328094557788,17.852435528958928,19.516262262454337,20.44125684506192
53,Henriksdalsberget,6,14.439149349333821,13.529940979374837,12.330843351936204,14.439149349333821,15.611249536698232
53,Henriksdalsberget,7,14.527136142418719,14.624127263774033,14.677255586374647,14.527136142418719,14.445300195539962
53,Henriksdalsberget,8,14.875946457840518,14.153992766479845,13.98998926432734,14.875946457840518,15.366772916964546
53,Henriksdalsberget,9,18.04662160820648,17.12452481771887,15.908083480665788,18.04662160820648,19.21984738651005
53,Henriksdalsberget,10,17.82544344950039,16.620711943746837,16.619399726498518,17.82544344950039,18.459336737358033
53,Henriksdalsberget,11,12.738982366870207,12.743042921085719,11.301619135341094,12.738982366870207,13.47708781008786
53,Henriksdalsberget,12,14.024820978929926,14.076816766644205,12.473333198943564,14.024820978929926,14.821530920004005
53,Henriksdalsberget,13,18.6467698769252,18.135452549177984,17.391791820777428,18.6467698769252,19.28055478153495
53,Henriksdalsberget,14,16.9215432560759,16.09603540169163,16.126012059249312,16.9215432560759,17.32731755781295
53,Henriksdalsberget,15,19.54052515597315,19.98837991822799,18.545486859325457,19.54052515597315,20.053120642124995
53,Henriksdalsberget,16,12.516796330373941,11.633863816852559,11.646066604887167,12.516796330373941,12.960926928608806
53,Henriksdalsberget,17,23.690300034465764,22.788206845553532,21.902742965711084,23.690300034465764,24.557530691584372
53,Henriksdalsberget,18,15.290335214683385,13.02499944563329,12.846006864062899,15.290335214683385,16.51249938999363
53,Henriksdalsberget,19,18.590559609868908,19.05578683019112,17.87040196730748,18.590559609868908,18.957888340302922
53,Henriksdalsberget,20,24.031582694629073,23.01207080084214,22.62587459867889,24.031582694629073,24.73678742503886
53,Henriksdalsberget,21,19.129917472176032,17.63897387289278,18.46504190796597,19.129917472176032,19.455750530133283
53,Henriksdalsberget,22,24.46927527876454,24.54404568742093,24.42270664120627,24.46927527876454,24.490815169752405
