route_short_name,destination,stop_sequence_real,average_speed,average_speed_7-9,average_speed_79_1518,average_speed_non_79,average_speed_non79_1518
61,Ruddammen,2,14.086367697573897,13.263386248239163,13.570103198626224,14.086367697573897,14.433542081883655
61,Ruddammen,3,19.66188335517643,18.82017347391301,18.661285183785104,19.66188335517643,20.328948802770647
61,Ruddammen,4,21.184178064614766,20.788320277318352,20.69855633616631,21.184178064614766,21.501250670818226
61,Ruddammen,5,18.122123047066296,17.62955117481991,17.570863408733118,18.122123047066296,18.47275417757073
61,Ruddammen,6,16.74149195820832,15.543950583119164,15.797756057888932,16.74149195820832,17.34817932269936
61,Ruddammen,7,22.895257666363037,21.512672060195182,21.80812483143441,22.895257666363037,23.60022435112904
61,Ruddammen,8,16.85051445112258,15.722768936163414,15.982449445907632,16.85051445112258,17.428226678731146
61,Ruddammen,9,19.757865554229205,18.822871014466823,18.15991900642906,19.757865554229205,20.83980852930222
61,Ruddammen,10,12.87324542858201,11.889592445507455,12.034617922126337,12.87324542858201,13.443978037142122
61,Ruddammen,11,14.141408720234557,13.392238594982514,13.584150314614348,14.141408720234557,14.501541703458498
61,Ruddammen,12,17.46575633172208,15.91955503718566,16.009831519814426,17.46575633172208,18.379373579462783
61,Ruddammen,13,14.860724541886464,13.888104783786014,14.581905900585303,14.860724541886464,15.032091480892161
61,Ruddammen,14,20.941279173027286,20.38616463604977,20.321425244489923,20.941279173027286,21.31769211972985
61,Ruddammen,15,17.008859334144994,15.95160119330412,16.261278480327974,17.008859334144994,17.466814492940188
61,Ruddammen,16,13.047012740950173,12.469904830145254,12.501765573202725,13.047012740950173,13.379919427528641
61,Ruddammen,17,16.44026043490992,15.546629299829034,15.496143824979715,16.44026043490992,17.011699435657146
61,Ruddammen,18,12.16190314239593,10.804792839334137,11.603535701585619,12.16190314239593,12.49986238288638
61,Ruddammen,19,22.32867559497137,20.922684139250478,20.388648129034124,22.32867559497137,23.462457880259368
61,Ruddammen,20,16.04366884920223,14.508093010904373,14.47583346031588,16.04366884920223,16.968027824408843
61,Ruddammen,21,17.368021162871862,16.034962032256658,14.992208662641122,17.368021162871862,18.72017168551122
61,Ruddammen,22,17.45191046640348,15.533779571261663,15.59050505665197,17.45191046640348,18.536224297326694
61,Ruddammen,23,17.182465401701727,14.384470894201966,15.419363661125818,17.182465401701727,18.191571864153534
61,Ruddammen,24,13.845318506726791,11.985388844981326,11.987483702387685,13.845318506726791,14.880735993221519
61,Ruddammen,25,17.79928505578637,16.355813757068628,16.55741694094853,17.79928505578637,18.479168549036203
61,Ruddammen,26,12.537670331745502,11.389448603472918,10.998935633338624,12.537670331745502,13.367713339403473
61,Ruddammen,27,17.54633780881556,17.100792340576668,17.14903958744055,17.54633780881556,17.758064133686258
61,Ruddammen,28,20.026945867287804,19.19975307393946,19.307565635608672,20.026945867287804,20.403443932465667
61,Ruddammen,29,34.85210479796857,39.35993426424223,36.11050507537184,34.85210479796857,34.191046424395964
