route_short_name,destination,stop_sequence_real,average_speed,average_speed_7-9,average_speed_79_1518,average_speed_non_79,average_speed_non79_1518
74,Sickla udde,2,14.555448132081402,14.258214590049388,14.180122745526997,14.555448132081402,14.924412071406072
74,Sickla udde,3,15.469888772299798,14.901255190843202,13.94348772475938,15.469888772299798,16.976886416693517
74,Sickla udde,4,15.663506964214402,14.690472241766596,14.736902242657823,15.663506964214402,16.551503155706122
74,Sickla udde,5,17.50494170700975,16.83916069021014,16.870598608429628,17.50494170700975,18.063466905361164
74,Sickla udde,6,38.02341419836111,37.52702266498193,37.43668969609417,38.02341419836111,38.53360941772366
74,Sickla udde,7,17.75888582349041,17.77209807237209,16.754254130458374,17.75888582349041,18.64042035255409
74,Sickla udde,8,19.30095024800226,18.92423926938751,18.25035948480167,19.30095024800226,20.211462242776108
74,Sickla udde,9,20.14900950589962,19.872989812349978,19.66329344435263,20.14900950589962,20.56642174629157
74,Sickla udde,10,24.57622444475685,23.869958646431485,23.180564541969655,24.57622444475685,25.78579636050575
74,Sickla udde,11,13.227174645451726,12.331065582111647,12.34346191471034,13.227174645451726,14.012697072777405
74,Sickla udde,12,16.49229435301261,16.530499387694725,15.986133129272487,16.49229435301261,16.94199137649487
74,Sickla udde,13,19.63150772834141,19.4729224011836,18.830547836417875,19.63150772834141,20.334326289634
74,Sickla udde,14,18.501128683346383,17.694891052037743,17.403514643170016,18.501128683346383,19.456139324602205
74,Sickla udde,15,16.286964369533838,16.570552712675543,16.204352807675917,16.286964369533838,16.78263374068138
74,Sickla udde,16,23.494577041259173,23.104673240616783,22.444702465623017,23.494577041259173,24.36274255572754
74,Sickla udde,17,12.657991959024725,13.395397098563047,12.270992409774871,12.657991959024725,12.949312652924986
74,Sickla udde,18,13.425701556970706,13.292360442746423,13.014945939258372,13.425701556970706,13.720374065329555
74,Sickla udde,19,19.809081361979807,19.151374421208015,19.09772782528339,19.809081361979807,20.34918312132339
74,Sickla udde,20,21.363353419914993,20.487867735951276,21.02781648741011,21.363353419914993,21.622518140170637
74,Sickla udde,21,21.85486139734957,21.431086294606573,21.7520116468085,21.85486139734957,21.933241318765624
74,Sickla udde,22,30.846790947638894,31.46927390699617,31.110407977047103,30.846790947638894,30.651016536093092
